wise_designation,ps_ra,ps_dec
J162625.43+432920.1,246.60599,43.48893
J162800.53+302105.6,247.0022,30.35155
J162936.46+604049.3,247.40204,60.68033
J163056.33+043559.5,247.73472,4.59984
J163118.21-124308.6,247.8259,-12.71906
J163227.92-142044.2,248.11637,-14.34561
J163400.27+640822.1,248.50121,64.13948
J163536.07+032407.8,248.9003,3.40217
J163856.00+691815.1,249.73337,69.30423
J163909.09+282447.1,249.78796,28.4131
J163926.45+035204.4,249.86023,3.86781
J163950.52+434003.7,249.9605,43.6677
J164405.05+534249.9,251.02102,53.71386
J164656.39+551446.1,251.73495,55.24615
J164743.09+171150.7,251.92957,17.19746
J164804.85+493326.8,252.02018,49.55745
J164852.28+520951.3,252.21788,52.16427
J164852.74+095941.9,252.21977,9.99503
J165044.77+390045.7,252.68657,39.01268
J165334.39+344413.6,253.39331,34.7371
J165436.04+732835.0,253.65019,73.47639
J165828.03+502308.0,254.61681,50.38555
J165844.06-073917.1,254.68359,-7.65492
J165929.37+653820.8,254.87241,65.63912
J170952.19+332906.1,257.46754,33.48498
J171721.32+422428.3,259.33896,42.40781
J172046.12+004328.0,260.19222,0.7245
J172237.85+385951.9,260.65773,38.99774
J172323.10+224357.1,260.84628,22.73254
J172338.84+392621.4,260.9117,39.43927
J173003.68+484630.7,262.5153,48.77521
J173257.40+325121.6,263.23917,32.85602
J174713.48+295532.1,266.80618,29.92564
J175334.52+374907.2,268.39388,37.81865
J175521.13+300904.3,268.83803,30.15118
J175629.85+260740.4,269.12439,26.12794
J180209.69+401253.7,270.54037,40.21494
J181027.30+342408.8,272.61379,34.40246
J181041.34+345449.4,272.67227,34.91374
J181706.18+482226.0,274.27577,48.37391
J181914.83+333946.0,274.81168,33.66277
J193512.40-261049.5,293.80168,-26.18045
J200013.52-250536.7,300.05631,-25.09359
J200205.97-232826.8,300.52487,-23.47403
J201023.34-182347.8,302.5973,-18.3966
J201158.75-262341.0,302.99486,-26.39471
J201741.49-281629.9,304.42289,-28.27499
J201834.86-152838.5,304.64525,-15.47741
J202043.90-023702.5,305.18293,-2.61737
J202753.32-052223.7,306.97216,-5.3732
J203336.69-245615.7,308.40291,-24.93774
J203343.57-302309.7,308.43155,-30.38606
J203416.99-025953.3,308.57082,-2.99818
J203623.50-083727.7,309.09803,-8.62498
J204320.18-033841.0,310.83406,-3.6447
J204848.27-225152.0,312.20114,-22.86448
J205516.83-051110.9,313.82016,-5.18638
J210006.60+024233.7,315.02751,2.70941
J210351.49-262300.1,315.96458,-26.3834
J210827.25-030847.8,317.11357,-3.14661
J211105.61-015604.1,317.77339,-1.9345
J211111.59-253615.0,317.79835,-25.60417
J211137.38-023942.0,317.90576,-2.66163
J212540.97-171951.3,321.42069,-17.33095
J212651.97-103139.6,321.71654,-10.52767
J212716.48-040433.5,321.81869,-4.07599
J212912.18-153841.1,322.30073,-15.64473
J213023.61+122252.1,322.59844,12.38121
J213050.10-244403.5,322.70875,-24.73431
J213225.90-283133.3,323.10792,-28.52592
J213259.08+163029.1,323.2462,16.5081
J213445.24-274939.7,323.6885,-27.82771
J215331.50-025514.1,328.38127,-2.9206
J215501.99+135825.6,328.75834,13.97381
J220824.19+180826.8,332.10079,18.14079
J221506.01+151208.3,333.77511,15.20238
J221527.29-161133.1,333.86371,-16.19252
J221533.06+235554.5,333.88786,23.9319
J222152.88-182602.9,335.47034,-18.43415
J222536.92+204015.2,336.40383,20.67092
J223000.01-262105.8,337.49999,-26.35158
J223049.46-215401.9,337.70615,-21.90058
J223252.17+343712.8,338.21737,34.62023
J223728.08+052917.2,339.36703,5.48806
J223734.42-310714.2,339.39337,-31.12058
J223812.05+330546.1,339.55017,33.09619
J223819.73-092106.1,339.58236,-9.3517
J223822.50-024553.2,339.59379,-2.76477
J223953.67-055220.0,339.97367,-5.87222
J224619.18-251720.9,341.57986,-25.2891
J224956.09+000218.1,342.4837,0.03838
J225053.58+301949.9,342.72334,30.33105
J225536.21-025736.3,343.90093,-2.96011
J225633.17-124359.7,344.13823,-12.73323
J225820.94-281855.2,344.58726,-28.31535
J225939.04-225035.1,344.91268,-22.84308
J230022.02-144031.4,345.09176,-14.67538
J230211.04+031344.4,345.54603,3.22901
J230432.31-124819.6,346.13463,-12.80546
J230744.06+125305.9,346.93359,12.885
J230827.04-133256.2,347.11268,-13.54895
J230959.29-122603.2,347.49706,-12.43421
J231047.52+111531.5,347.6983,11.25857
J231136.36+245812.5,347.90152,24.97016
J231934.76-104037.0,349.89488,-10.67693
J232306.88-245113.8,350.77872,-24.85383
J232419.45+165620.2,351.08101,16.93896
J232452.61+182416.4,351.21923,18.40457
J233117.24-054020.8,352.82188,-5.67249
J233532.00+044433.4,353.88326,4.74256
J233839.73+292420.9,354.66555,29.40583
J233926.33-112050.5,354.85977,-11.34732
J234210.10-232153.6,355.54215,-23.36489
J234241.97-122655.1,355.6749,-12.44862
J234625.67-001600.4,356.60696,-0.26679
J234856.47-104131.2,357.23535,-10.69201
J235054.64+200938.6,357.72764,20.16073
J235201.30+200902.3,358.00544,20.15069
J235330.05-050817.8,358.37524,-5.13831
J235808.54+012507.2,359.53559,1.41867
J235828.10+240746.7,359.6171,24.12964
